"godina","vecher","pesna","mesto","poeni","cenaOblozhuvanje"
"1999","F",254,"8",71,0
"1999","F",255,"18",17,0
"1999","F",256,"2",146,0
"1999","F",257,"22",2,0
"1999","F",258,"1",163,0
"1999","F",259,"21",12,0
"1999","F",260,"17",18,0
"1999","F",261,"10",65,0
"1999","F",262,"5",93,0
"1999","F",263,"15",32,0
"1999","F",264,"3",140,0
"1999","F",265,"7",86,0
"1999","F",266,"6",90,0
"1998","F",267,"5",131,0
"1998","F",268,"20",12,0
"1998","F",269,"24",3,0
"1998","F",270,"16",21,0
"1998","F",271,"25",0,0
"1998","F",272,"21",8,0
"1998","F",273,"17",19,0
"1998","F",274,"1",172,0
"1998","F",275,"7",86,0
"1998","F",276,"3",165,0
"1998","F",277,"23",4,0
"1998","F",278,"18",17,0
"1998","F",279,"9",64,0
"1998","F",280,"12",36,0
"1998","F",281,"22",6,0
"1998","F",282,"2",166,0
"1998","F",283,"11",37,0
"1998","F",284,"4",150,0
"1998","F",285,"10",53,0
"1998","F",286,"6",122,0
"1998","F",287,"15",22,0
"1998","F",288,"8",79,0
"1998","F",289,"12",36,0
"1998","F",290,"14",25,0
"1998","F",291,"19",16,0
"2009","SF1",292,"11",44,65.0546789980538
"2009","SF1",293,"18",0,726.428529272899
"2009","SF1",294,"17",1,116.232571291899
"2009","SF1",295,"13",25,353.396463755849
"2009","SF1",4,"4",105,63.2611620030022
"2009","SF1",9,"5",99,129.48645721773
"2009","SF1",296,"15",8,522.030403650664
"2009","SF1",297,"14",15,131.05219428478
"2009","SF1",18,"2",172,16.4033775781448
"2009","SF1",2,"7",75,236.30934045829
"2009","SF1",298,"16",7,470.68669215365
"2009","SF1",7,"1",174,32.5284316260777
"2009","SF1",299,"10",45,757.288104285413
"2009","SF1",22,"9",67,210.153066805113
"2009","SF1",24,"12",42,88.7850870441485
"2009","SF1",6,"8",70,197.462957073479
"2009","SF1",14,"6",86,57.2534314016583
"2009","SF1",12,"3",125,25.3284877364489
"2009","SF2",5,"13",33,607.325179900593
"2009","SF2",300,"11",52,224.493107104984
"2009","SF2",301,"19",7,787.722548476454
"2009","SF2",302,"10",60,95.3817645177705
"2009","SF2",303,"12",43,454.214564696394
"2009","SF2",20,"1",201,1.72796231291585
"2009","SF2",304,"14",32,270.977329294538
"2009","SF2",305,"18",8,606.400018294914
"2009","SF2",16,"8",69,88.7527920116345
"2009","SF2",306,"16",14,291.48866984644
"2009","SF2",307,"15",16,474.080712522939
"2009","SF2",11,"2",180,12.4108564549418
"2009","SF2",8,"4",110,9.08040471280756
"2009","SF2",1,"9",66,270.202435990797
"2009","SF2",13,"5",106,260.932625364416
"2009","SF2",19,"7",73,146.916977196098
"2009","SF2",21,"6",80,27.5964112385976
"2009","SF2",15,"3",115,62.2218928764047
"2009","SF2",308,"17",11,353.085905349794
"2008","SF1",309,"14",23,840.577219086711
"2008","SF1",32,"5",104,120.02920445604
"2008","SF1",310,"18",8,329.974840804095
"2008","SF1",311,"12",36,786.037803626411
"2008","SF1",312,"19",5,748.152301513747
"2008","SF1",313,"17",16,153.903308100177
"2008","SF1",45,"6",96,90.3765547933556
"2008","SF1",314,"11",36,186.740450693537
"2008","SF1",50,"4",106,47.5926542786482
"2008","SF1",35,"10",42,207.506808578976
"2008","SF1",315,"15",22,14.8147646613724
"2008","SF1",316,"16",22,197.308694631857
"2008","SF1",31,"9",72,28.62010719468
"2008","SF1",30,"2",139,14.3399813125113
"2008","SF1",317,"13",27,524.420663518887
"2008","SF1",33,"8",79,31.199916448163
"2008","SF1",26,"7",94,94.6019985893489
"2008","SF1",49,"3",135,2.50603289832811
"2008","SF1",46,"1",156,8.80150716154351
"2008","SF2",318,"8",68,105.088741989189
"2008","SF2",40,"12",54,16.0449586604854
"2008","SF2",37,"7",85,33.9377639076297
"2008","SF2",43,"1",152,5.33875017406219
"2008","SF2",319,"16",30,631.297795860325
"2008","SF2",28,"9",67,270.145213224148
"2008","SF2",320,"13",47,90.295901350971
"2008","SF2",321,"18",9,621.042062679729
"2008","SF2",322,"17",27,302.152393592677
"2008","SF2",39,"6",86,61.8149817223313
"2008","SF2",34,"3",112,247.984664603455
"2008","SF2",323,"11",56,44.9226516585317
"2008","SF2",41,"3",112,106.272199858427
"2008","SF2",42,"5",107,84.0277056368902
"2008","SF2",324,"19",6,385.612398473103
"2008","SF2",325,"14",38,153.90238810644
"2008","SF2",326,"15",36,465.440524000765
"2008","SF2",327,"10",64,456.211890713977
